time	V(vin)	V(vout)
8.028720453763615e-002	9.010559e-002	-7.715626e-002
8.028728950760328e-002	9.013218e-002	-7.719689e-002
8.029240552894636e-002	9.173276e-002	-7.648080e-002
8.029256558614845e-002	9.178283e-002	-7.645818e-002
8.029288570055264e-002	9.188297e-002	-7.765997e-002
8.029322326062623e-002	9.198857e-002	-8.069276e-002
8.029338999392469e-002	9.204073e-002	-8.193144e-002
8.029364364061316e-002	9.212008e-002	-8.263877e-002
8.029389838163013e-002	9.219977e-002	-8.290209e-002
8.029414831933755e-002	9.227795e-002	-8.307392e-002
8.029546112430445e-002	9.268862e-002	-8.353288e-002
8.045938665742997e-002	1.441502e-001	-1.349870e-001
8.062331219055549e-002	1.948988e-001	-1.857291e-001
8.078723772368100e-002	2.449343e-001	-2.357591e-001
8.095116325680653e-002	2.942569e-001	-2.850771e-001
8.111508878993204e-002	3.428664e-001	-3.336831e-001
8.127901432305756e-002	3.907628e-001	-3.815770e-001
8.144293985618308e-002	4.379463e-001	-4.287589e-001
8.171687599823267e-002	5.147924e-001	-5.056026e-001
8.199081214028225e-002	5.866096e-001	-5.774189e-001
8.226474828233185e-002	6.533977e-001	-6.442077e-001
8.253868442438145e-002	7.151568e-001	-7.059691e-001
8.281262056643104e-002	7.718869e-001	-7.627029e-001
8.308655670848063e-002	8.235880e-001	-8.144094e-001
8.336049285053022e-002	8.702601e-001	-8.610883e-001
8.392288424822557e-002	9.424014e-001	-9.332516e-001
8.448527564592093e-002	9.848016e-001	-9.756767e-001
8.504766704361627e-002	9.974607e-001	-9.883638e-001
8.561005844131163e-002	9.803786e-001	-9.713128e-001
8.617244983900697e-002	9.335554e-001	-9.245238e-001
8.673484123670233e-002	8.569912e-001	-8.479966e-001
8.729723263439768e-002	7.506858e-001	-7.417315e-001
8.760851193127270e-002	6.825953e-001	-6.736622e-001
